Reference,Country,Site,Longitude (degrees),Latitude (degrees),Elevation (m),Land use type,Hydrology type,Vector Species,Method,Start Year,Start Month,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Akogbeto et al. (1992),Benin,Gbegame,2.41,6.36,6,U,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1987,1,0,0,0,0,0,0,0,0,0,0,30,3.1
Akogbeto et al. (1992),Benin,Ladji,2.43,6.39,2,U,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1987,1,2.48,0,0,0,0,3,3.1,9.3,9,18.6,12,3.1
Akogbeto et al. (1992),Benin,St_Ritha_Nord,2.4,6.38,4,U,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1987,1,22.32,0,0,0,0,0,2.48,15.5,0,3.1,12,9.3
Akogbeto et al. (1992),Benin,Ganvie,2.416667,6.466667,2,PU,PWB,AG,EIR,1994,1,0.002432,0.177232,0.228,1.545232,1.646768,2.28,1.317232,0.557232,1.089232,1.317232,0.101232,0.101232
Akogbeto et al. (1992),Benin,Ganvie,2.416667,6.466667,2,PU,PWB,AG,EIR,1995,1,0.002736,0.21128,0.21128,1.979952,2.111888,2.613488,1.399312,0.818368,0.818368,0.105488,0.105488,0.002736
Ilboudo-Sanogo et al. (2010),Burkina_Faso,Balonguen,-1.621,12.403,343,PU,PWB,AF,EIR from LIGHT and monthly sporozoites,2000,12,0.000790956,0,0.001581911,0.000790956,0,0,0,0,1.158750079,8.312153298,2.241568412,0
Ilboudo-Sanogo et al. (2010),Burkina_Faso,Balonguen,-1.621,12.403,343,PU,PWB,AGSL,EIR from LIGHT and monthly sporozoites,2000,12,3.56562823,2.183037692,0.009491468,0.000790956,0.003163823,0.003163823,4.272742612,37.80372698,61.91680201,121.2163317,32.71234524,4.28777077
Robert et al. (1985),Burkina_Faso,Dande,-4.557,11.582,275,R,N,AF,EIR,1983,1,0,0,0,0,0,0,0,0,10.28210526,11.56736842,0,0
Robert et al. (1985),Burkina_Faso,Dande,-4.557,11.582,275,R,N,AF,EIR,1984,1,0,0,0,0,0,0,0,0,0,7.711578947,0,0
Robert et al. (1985),Burkina_Faso,Dande,-4.557,11.582,275,R,N,AG,EIR,1983,1,0,0,0,0,0,0,6.426315789,6.426315789,3.855789474,0,0,0
Robert et al. (1985),Burkina_Faso,Dande,-4.557,11.582,275,R,N,AG,EIR,1984,1,0,0,0,0,0,0,3.855789474,3.855789474,12.85263158,12.85263158,0,0
Rossi et al. (1986),Burkina_Faso,Guinghin_Nord,-1.54,12.352,305,U,N,AGSL,EIR from SPRAYand monthly sporozoites,1984,3,0,0,0,0,0,0,0,0,0,0,0,0
Robert et al. (1988),Burkina_Faso,Karangaso,-4.64,11.21,366,R,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1985,3,0.859295659,0.501255801,0.644471744,1.181531532,6.552129402,14.93026208,28.78640459,22.55651106,10.20413595,0.859295659,0.644471744,0.966707617
