district,year,value
1,2000,0
1,2001,0
1,2002,0
1,2003,0
1,2004,0
1,2005,0
1,2006,0.015859624
1,2007,0.064074174
1,2008,0.058617476
1,2009,0.048817936
1,2010,0.080604032
1,2011,0.072570339
1,2012,0.070182487
1,2013,0.068893783
1,2014,0.07054887
1,2015,0.07054887
2,2000,0
2,2001,0
2,2002,0
2,2003,0
2,2004,0.000596182
2,2005,0.000899605
2,2006,0.016060798
2,2007,0.067044919
2,2008,0.060998933
2,2009,0.04880535
2,2010,0.07887853
2,2011,0.071769635
2,2012,0.070396219
2,2013,0.065267794
2,2014,0.069144549
2,2015,0.069144549
3,2000,0
3,2001,0
3,2002,0
3,2003,0
3,2004,0
3,2005,0
3,2006,0.015859624
3,2007,0.064074174
3,2008,0.058617476
3,2009,0.048817936
3,2010,0.080604032
3,2011,0.072570339
3,2012,0.070182487
3,2013,0.068893783
3,2014,0.07054887
3,2015,0.07054887
4,2000,0
4,2001,0
4,2002,0
4,2003,0
4,2004,0
4,2005,0
4,2006,0.015859624
4,2007,0.064074174
4,2008,0.058617476
4,2009,0.048817936
4,2010,0.080604032
4,2011,0.072570339
4,2012,0.070182487
4,2013,0.068893783
4,2014,0.07054887
4,2015,0.07054887
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0.015859624
5,2007,0.064074174
5,2008,0.058617476
5,2009,0.048817936
5,2010,0.080604032
5,2011,0.072570339
5,2012,0.070182487
5,2013,0.068893783
5,2014,0.07054887
5,2015,0.07054887
6,2000,0
6,2001,0
6,2002,0
6,2003,0
6,2004,0
6,2005,0
6,2006,0.015859624
6,2007,0.064074174
6,2008,0.058617476
6,2009,0.048817936
6,2010,0.080604032
6,2011,0.072570339
6,2012,0.070182487
6,2013,0.068893783
6,2014,0.07054887
6,2015,0.07054887
7,2000,0
7,2001,0
7,2002,0
7,2003,0
7,2004,0
7,2005,0
7,2006,0.015859624
7,2007,0.064074174
7,2008,0.058617476
7,2009,0.048817936
7,2010,0.080604032
7,2011,0.072570339
7,2012,0.070182487
7,2013,0.068893783
7,2014,0.07054887
7,2015,0.07054887
8,2000,0
8,2001,0
8,2002,0
8,2003,0
8,2004,0
8,2005,0
8,2006,0.015859624
8,2007,0.064074174
8,2008,0.058617476
8,2009,0.048817936
8,2010,0.080604032
8,2011,0.072570339
8,2012,0.070182487
8,2013,0.068893783
8,2014,0.07054887
8,2015,0.07054887
9,2000,0
9,2001,0
9,2002,0
9,2003,0
9,2004,0
9,2005,0
9,2006,0.015859624
9,2007,0.064074174
9,2008,0.058617476
9,2009,0.048817936
9,2010,0.080604032
