district,year,value
1,2000,0
1,2001,0
1,2002,0
1,2003,0
1,2004,0
1,2005,0
1,2006,0.107408939
1,2007,0.211005517
1,2008,0.270947203
1,2009,0.30396061
1,2010,0.425673135
1,2011,0.423762475
1,2012,0.359882995
1,2013,0.556358481
1,2014,0.765517249
1,2015,0.75662633
2,2000,0
2,2001,0
2,2002,0.003595904
2,2003,0
2,2004,0
2,2005,0.005049945
2,2006,0.041629496
2,2007,0.129625558
2,2008,0.182934361
2,2009,0.210508958
2,2010,0.327590963
2,2011,0.331345579
2,2012,0.266719188
2,2013,0.443716736
2,2014,0.63670107
2,2015,0.628976218
3,2000,0
3,2001,0
3,2002,0
3,2003,0
3,2004,0
3,2005,0
3,2006,0.167630502
3,2007,0.290270521
3,2008,0.346748884
3,2009,0.353634194
3,2010,0.432032474
3,2011,0.431180761
3,2012,0.405675201
3,2013,0.613254302
3,2014,0.82430046
3,2015,0.815342597
4,2000,0
4,2001,0
4,2002,0
4,2003,0
4,2004,0
4,2005,0
4,2006,0.180810053
4,2007,0.27523939
4,2008,0.310943642
4,2009,0.340246337
4,2010,0.445034375
4,2011,0.453143967
4,2012,0.426114789
4,2013,0.629894056
4,2014,0.838677962
4,2015,0.829800339
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0.047792818
5,2007,0.141704794
5,2008,0.19864135
5,2009,0.231493296
5,2010,0.334761266
5,2011,0.323765462
5,2012,0.26646156
5,2013,0.443047121
5,2014,0.630798631
5,2015,0.622667005
6,2000,0
6,2001,0
6,2002,0
6,2003,0
6,2004,0
6,2005,0
6,2006,0.026542524
6,2007,0.113731688
6,2008,0.175682499
6,2009,0.208287638
6,2010,0.312137399
6,2011,0.299484808
6,2012,0.24163213
6,2013,0.423298475
6,2014,0.616512715
6,2015,0.608187332
7,2000,0
7,2001,0
7,2002,0
7,2003,0
7,2004,0
7,2005,0
7,2006,0.067289804
7,2007,0.161723186
7,2008,0.219129003
7,2009,0.253567534
7,2010,0.342982833
7,2011,0.329120311
7,2012,0.289757698
7,2013,0.472941642
7,2014,0.663912775
7,2015,0.655666953
8,2000,0
8,2001,0
8,2002,0
8,2003,0
8,2004,0
8,2005,0
8,2006,0.060521276
8,2007,0.146420944
8,2008,0.188791744
8,2009,0.214276637
8,2010,0.287627697
8,2011,0.289271421
8,2012,0.276917445
8,2013,0.460365596
8,2014,0.647321894
8,2015,0.639218474
9,2000,0
9,2001,0
9,2002,0
9,2003,0
9,2004,0
9,2005,0
9,2006,0.035574643
9,2007,0.13361269
9,2008,0.196915162
9,2009,0.231234782
9,2010,0.355164147
